ob,r,d,dToCritical,dToDesirable,hasLM,Label
MOVE PLACE_4_5 PLACE_4_6,0.0,0.0,-1,6,NaN,N
MOVE PLACE_4_6 PLACE_4_7,0.0,0.0,-1,5,NaN,N
MOVE PLACE_4_7 PLACE_4_8,0.0,0.01,-1,4,NaN,N
MOVE PLACE_4_8 PLACE_4_9,0.0,0.04,-1,3,NaN,N
MOVE PLACE_4_9 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.06,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.0,0.1,-1,8,NaN,N
MOVE PLACE_2_6 PLACE_3_6,0.0,0.01,-1,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.03,-1,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.05,-1,5,NaN,N
MOVE PLACE_3_8 PLACE_4_8,0.0,0.03,-1,4,NaN,N
MOVE PLACE_4_8 PLACE_4_9,0.0,0.04,-1,3,NaN,N
MOVE PLACE_4_9 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_3_4,0.0,0.0,-1,9,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.0,0.01,-1,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.0,0.01,-1,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.03,-1,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.05,-1,5,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.09,-1,4,NaN,N
MOVE PLACE_3_9 PLACE_4_9,0.0,0.06,-1,3,NaN,N
MOVE PLACE_4_9 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.06,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.0,0.1,-1,8,NaN,N
MOVE PLACE_2_6 PLACE_3_6,0.0,0.01,-1,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.03,-1,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.05,-1,5,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.09,-1,4,NaN,N
MOVE PLACE_3_9 PLACE_4_9,0.0,0.06,-1,3,NaN,N
MOVE PLACE_4_9 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.06,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.0,0.1,-1,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.0,0.15,-1,7,NaN,N
MOVE PLACE_2_7 PLACE_2_8,0.0,0.2,-1,6,NaN,N
MOVE PLACE_2_8 PLACE_2_9,0.0,0.26,-1,5,NaN,N
MOVE PLACE_2_9 PLACE_2_10,0.0,0.3,-1,4,NaN,N
MOVE PLACE_2_10 PLACE_3_10,0.0,0.15,-1,3,NaN,N
MOVE PLACE_3_10 PLACE_3_11,0.0,0.22,-1,2,NaN,N
MOVE PLACE_3_11 PLACE_3_12,0.0,0.33,-1,1,NaN,N
MOVE PLACE_3_12 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_3_4,0.0,0.0,-1,9,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.0,0.01,-1,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.0,0.01,-1,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.03,-1,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.05,-1,5,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.09,-1,4,NaN,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.15,-1,3,NaN,N
MOVE PLACE_3_10 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.06,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.0,0.1,-1,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.0,0.15,-1,7,NaN,N
MOVE PLACE_2_7 PLACE_3_7,0.0,0.03,-1,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.05,-1,5,NaN,N
MOVE PLACE_3_8 PLACE_4_8,0.0,0.03,-1,4,NaN,N
MOVE PLACE_4_8 PLACE_4_9,0.0,0.04,-1,3,NaN,N
MOVE PLACE_4_9 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.06,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.0,0.1,-1,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.0,0.15,-1,7,NaN,N
MOVE PLACE_2_7 PLACE_2_8,0.0,0.2,-1,6,NaN,N
MOVE PLACE_2_8 PLACE_2_9,0.0,0.26,-1,5,NaN,N
MOVE PLACE_2_9 PLACE_2_10,0.0,0.3,-1,4,NaN,N
MOVE PLACE_2_10 PLACE_3_10,0.0,0.15,-1,3,NaN,N
MOVE PLACE_3_10 PLACE_3_11,0.0,0.22,-1,2,NaN,N
MOVE PLACE_3_11 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.06,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.0,0.1,-1,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.0,0.15,-1,7,NaN,N
MOVE PLACE_2_7 PLACE_2_8,0.0,0.2,-1,6,NaN,N
MOVE PLACE_2_8 PLACE_3_8,0.0,0.05,-1,5,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.09,-1,4,NaN,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.15,-1,3,NaN,N
MOVE PLACE_3_10 PLACE_3_11,0.0,0.22,-1,2,NaN,N
MOVE PLACE_3_11 PLACE_3_12,0.0,0.33,-1,1,NaN,N
MOVE PLACE_3_12 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.06,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_3_5,0.0,0.01,-1,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.0,0.01,-1,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.03,-1,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.05,-1,5,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.09,-1,4,NaN,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.15,-1,3,NaN,N
MOVE PLACE_3_10 PLACE_3_11,0.0,0.22,-1,2,NaN,N
MOVE PLACE_3_11 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.06,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.0,0.1,-1,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.0,0.15,-1,7,NaN,N
MOVE PLACE_2_7 PLACE_2_8,0.0,0.2,-1,6,NaN,N
MOVE PLACE_2_8 PLACE_2_9,0.0,0.26,-1,5,NaN,N
MOVE PLACE_2_9 PLACE_3_9,0.0,0.09,-1,4,NaN,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.15,-1,3,NaN,N
MOVE PLACE_3_10 PLACE_3_11,0.0,0.22,-1,2,NaN,N
MOVE PLACE_3_11 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_3_3,0.0,0.0,-1,10,NaN,N
MOVE PLACE_3_3 PLACE_3_4,0.0,0.0,-1,9,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.0,0.01,-1,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.0,0.01,-1,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.03,-1,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.05,-1,5,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.09,-1,4,NaN,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.15,-1,3,NaN,N
MOVE PLACE_3_10 PLACE_3_11,0.0,0.22,-1,2,NaN,N
MOVE PLACE_3_11 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.06,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.0,0.1,-1,8,NaN,N
MOVE PLACE_2_6 PLACE_3_6,0.0,0.01,-1,7,NaN,N
MOVE PLACE_3_6 PLACE_4_6,0.0,0.01,-1,6,NaN,N
MOVE PLACE_4_6 PLACE_4_7,0.0,0.0,-1,5,NaN,N
MOVE PLACE_4_7 PLACE_4_8,0.0,0.01,-1,4,NaN,N
MOVE PLACE_4_8 PLACE_4_9,0.0,0.04,-1,3,NaN,N
MOVE PLACE_4_9 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_3_3,0.0,0.0,-1,10,NaN,N
MOVE PLACE_3_3 PLACE_3_4,0.0,0.0,-1,9,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.0,0.01,-1,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.0,0.01,-1,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.03,-1,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.05,-1,5,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.09,-1,4,NaN,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.15,-1,3,NaN,N
MOVE PLACE_3_10 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.06,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_3_5,0.0,0.01,-1,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.0,0.01,-1,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.03,-1,6,NaN,N
MOVE PLACE_3_7 PLACE_4_7,0.0,0.01,-1,5,NaN,N
MOVE PLACE_4_7 PLACE_4_8,0.0,0.01,-1,4,NaN,N
MOVE PLACE_4_8 PLACE_4_9,0.0,0.04,-1,3,NaN,N
MOVE PLACE_4_9 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.06,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.0,0.1,-1,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.0,0.15,-1,7,NaN,N
MOVE PLACE_2_7 PLACE_3_7,0.0,0.03,-1,6,NaN,N
MOVE PLACE_3_7 PLACE_4_7,0.0,0.01,-1,5,NaN,N
MOVE PLACE_4_7 PLACE_4_8,0.0,0.01,-1,4,NaN,N
MOVE PLACE_4_8 PLACE_4_9,0.0,0.04,-1,3,NaN,N
MOVE PLACE_4_9 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.06,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.0,0.1,-1,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.0,0.15,-1,7,NaN,N
MOVE PLACE_2_7 PLACE_2_8,0.0,0.2,-1,6,NaN,N
MOVE PLACE_2_8 PLACE_2_9,0.0,0.26,-1,5,NaN,N
MOVE PLACE_2_9 PLACE_3_9,0.0,0.09,-1,4,NaN,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.15,-1,3,NaN,N
MOVE PLACE_3_10 PLACE_3_11,0.0,0.22,-1,2,NaN,N
MOVE PLACE_3_11 PLACE_3_12,0.0,0.33,-1,1,NaN,N
MOVE PLACE_3_12 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.06,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_3_5,0.0,0.01,-1,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.0,0.01,-1,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.03,-1,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.05,-1,5,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.09,-1,4,NaN,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.15,-1,3,NaN,N
MOVE PLACE_3_10 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.06,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.0,0.1,-1,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.0,0.15,-1,7,NaN,N
MOVE PLACE_2_7 PLACE_3_7,0.0,0.03,-1,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.05,-1,5,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.09,-1,4,NaN,N
MOVE PLACE_3_9 PLACE_4_9,0.0,0.06,-1,3,NaN,N
MOVE PLACE_4_9 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.06,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.0,0.1,-1,8,NaN,N
MOVE PLACE_2_6 PLACE_3_6,0.0,0.01,-1,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.03,-1,6,NaN,N
MOVE PLACE_3_7 PLACE_4_7,0.0,0.01,-1,5,NaN,N
MOVE PLACE_4_7 PLACE_4_8,0.0,0.01,-1,4,NaN,N
MOVE PLACE_4_8 PLACE_4_9,0.0,0.04,-1,3,NaN,N
MOVE PLACE_4_9 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_3_3,0.0,0.0,-1,10,NaN,N
MOVE PLACE_3_3 PLACE_3_4,0.0,0.0,-1,9,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.0,0.01,-1,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.0,0.01,-1,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.03,-1,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.05,-1,5,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.09,-1,4,NaN,N
MOVE PLACE_3_9 PLACE_4_9,0.0,0.06,-1,3,NaN,N
MOVE PLACE_4_9 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.06,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.0,0.1,-1,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.0,0.15,-1,7,NaN,N
MOVE PLACE_2_7 PLACE_2_8,0.0,0.2,-1,6,NaN,N
MOVE PLACE_2_8 PLACE_2_9,0.0,0.26,-1,5,NaN,N
MOVE PLACE_2_9 PLACE_3_9,0.0,0.09,-1,4,NaN,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.15,-1,3,NaN,N
MOVE PLACE_3_10 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.06,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.0,0.1,-1,8,NaN,N
MOVE PLACE_2_6 PLACE_3_6,0.0,0.01,-1,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.03,-1,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.05,-1,5,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.09,-1,4,NaN,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.15,-1,3,NaN,N
MOVE PLACE_3_10 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.06,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_3_5,0.0,0.01,-1,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.0,0.01,-1,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.03,-1,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.05,-1,5,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.09,-1,4,NaN,N
MOVE PLACE_3_9 PLACE_4_9,0.0,0.06,-1,3,NaN,N
MOVE PLACE_4_9 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_3_4,0.0,0.0,-1,9,NaN,N
MOVE PLACE_3_4 PLACE_4_4,0.0,0.0,-1,8,NaN,N
MOVE PLACE_4_4 PLACE_4_5,0.0,0.0,-1,7,NaN,N
MOVE PLACE_4_5 PLACE_4_6,0.0,0.0,-1,6,NaN,N
MOVE PLACE_4_6 PLACE_4_7,0.0,0.0,-1,5,NaN,N
MOVE PLACE_4_7 PLACE_4_8,0.0,0.01,-1,4,NaN,N
MOVE PLACE_4_8 PLACE_4_9,0.0,0.04,-1,3,NaN,N
MOVE PLACE_4_9 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.06,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_3_5,0.0,0.01,-1,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.0,0.01,-1,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.03,-1,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.05,-1,5,NaN,N
MOVE PLACE_3_8 PLACE_4_8,0.0,0.03,-1,4,NaN,N
MOVE PLACE_4_8 PLACE_4_9,0.0,0.04,-1,3,NaN,N
MOVE PLACE_4_9 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.06,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.0,0.1,-1,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.0,0.15,-1,7,NaN,N
MOVE PLACE_2_7 PLACE_3_7,0.0,0.03,-1,6,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.05,-1,5,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.09,-1,4,NaN,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.15,-1,3,NaN,N
MOVE PLACE_3_10 PLACE_3_11,0.0,0.22,-1,2,NaN,N
MOVE PLACE_3_11 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.0,0.06,-1,9,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.0,0.1,-1,8,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.0,0.15,-1,7,NaN,N
MOVE PLACE_2_7 PLACE_2_8,0.0,0.2,-1,6,NaN,N
MOVE PLACE_2_8 PLACE_3_8,0.0,0.05,-1,5,NaN,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.09,-1,4,NaN,N
MOVE PLACE_3_9 PLACE_4_9,0.0,0.06,-1,3,NaN,N
MOVE PLACE_4_9 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_3_3,0.0,0.0,-1,10,NaN,N
MOVE PLACE_3_3 PLACE_3_4,0.0,0.0,-1,9,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.0,0.01,-1,8,NaN,N
MOVE PLACE_3_5 PLACE_4_5,0.0,0.0,-1,7,NaN,N
MOVE PLACE_4_5 PLACE_4_6,0.0,0.0,-1,6,NaN,N
MOVE PLACE_4_6 PLACE_4_7,0.0,0.0,-1,5,NaN,N
MOVE PLACE_4_7 PLACE_4_8,0.0,0.01,-1,4,NaN,N
MOVE PLACE_4_8 PLACE_4_9,0.0,0.04,-1,3,NaN,N
MOVE PLACE_4_9 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_3_3,0.0,0.0,-1,10,NaN,N
MOVE PLACE_3_3 PLACE_4_3,0.0,0.0,-1,9,NaN,N
MOVE PLACE_4_3 PLACE_4_4,0.0,0.0,-1,8,NaN,N
MOVE PLACE_4_4 PLACE_4_5,0.0,0.0,-1,7,NaN,N
MOVE PLACE_4_5 PLACE_4_6,0.0,0.0,-1,6,NaN,N
MOVE PLACE_4_6 PLACE_4_7,0.0,0.0,-1,5,NaN,N
MOVE PLACE_4_7 PLACE_4_8,0.0,0.01,-1,4,NaN,N
MOVE PLACE_4_8 PLACE_4_9,0.0,0.04,-1,3,NaN,N
MOVE PLACE_4_9 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_3_4,0.0,0.0,-1,9,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.0,0.01,-1,8,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.0,0.01,-1,7,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.03,-1,6,NaN,N
MOVE PLACE_3_7 PLACE_4_7,0.0,0.01,-1,5,NaN,N
MOVE PLACE_4_7 PLACE_4_8,0.0,0.01,-1,4,NaN,N
MOVE PLACE_4_8 PLACE_4_9,0.0,0.04,-1,3,NaN,N
MOVE PLACE_4_9 PLACE_4_10,0.0,0.11,-1,2,NaN,N
MOVE PLACE_4_10 PLACE_4_11,0.0,0.33,-1,1,NaN,N
MOVE PLACE_4_11 PLACE_4_12,0.0,1.0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.04,-1,10,NaN,N
MOVE PLACE_2_4 PLACE_3_4,0.0,0.0,-1,9,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.0,0.01,-1,8,NaN,N
